Firmware Version,Version 2.3 (13),System S/N,200-10008,Associated XDR,12398-1004,,Gain Pot Settings:,A:,7,B:,6,C:,5,D:,5,,,,,,,,,,,,,,,,,,
Date,Time,Log Type,Unit State,Electrical Energy (J),Time Setting (s),Electrical Power (W),Sonication Mode,Error/Reason,Chan A FWD,Chan A REV,Chan B FWD,Chan B REV,Chan C FWD,Chan C REV,Chan D FWD,Chan D REV,LCD Working?,Panic SW Open?,Unit Temperature (C),Cal Factor (A),Cal Factor (B),Cal Factor (C),Cal Factor (D),Delivered Acoustic Energy (J),,Base Ticks (A),Adj Ticks (A),Base Ticks (B),Adj Ticks (B),Base Ticks (C),Adj Ticks (C),Base Ticks (D),Adj Ticks (D)
8/20/2021,14:21:56,Sonication,ACTIVE,533,20,26.65,Incoherent,,7.27,0.08,6.56,0.1,6.38,0.1,6.38,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,68.96,,1421,26,1352,32,1299,68,1343,8
8/20/2021,14:21:56,Sonication,ACTIVE,533,20,26.65,Incoherent,,7.07,0.08,6.56,0.1,6.24,0.11,6.41,0.12,TRUE,TRUE,27,56.2,56.2,56.2,56.2,70.44,,1421,25,1352,32,1299,69,1343,9
8/20/2021,14:21:56,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.54,0.09,6.68,0.11,6.24,0.11,6.31,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,71.89,,1421,25,1352,32,1299,70,1343,10
8/20/2021,14:21:56,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.73,0.09,6.79,0.11,6.3,0.1,6.45,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,73.36,,1421,25,1352,32,1299,71,1343,10
8/20/2021,14:21:56,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.78,0.09,6.87,0.11,6.46,0.1,6.54,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,74.86,,1421,25,1352,32,1299,71,1343,10
8/20/2021,14:21:57,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.69,0.09,6.58,0.1,6.4,0.09,6.59,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,76.33,,1421,25,1352,32,1299,72,1343,10
8/20/2021,14:21:57,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.76,0.08,6.53,0.09,6.35,0.1,6.58,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,77.8,,1421,25,1352,32,1299,73,1343,10
8/20/2021,14:21:57,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.83,0.08,6.59,0.11,6.27,0.1,6.57,0.12,TRUE,TRUE,27,56.2,56.2,56.2,56.2,79.28,,1421,25,1352,32,1299,74,1343,10
8/20/2021,14:21:57,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.51,0.09,6.67,0.12,6.16,0.11,6.43,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,80.72,,1421,25,1352,32,1299,75,1343,10
8/20/2021,14:21:57,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.48,0.1,6.85,0.11,6.26,0.1,6.51,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,82.19,,1421,25,1352,32,1299,76,1343,10
8/20/2021,14:21:57,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.64,0.09,6.89,0.1,6.39,0.09,6.54,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,83.67,,1421,25,1352,32,1299,77,1343,10
8/20/2021,14:21:57,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.77,0.07,6.75,0.1,6.38,0.1,6.54,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,85.16,,1421,25,1352,32,1299,78,1343,10
